,state,district,label,modal_price,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,N,P,K,temperature,humidity,ph,rainfall,diff
0,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,18,30,29,26.7627493,92.86056895,6.420018717,224.5903664,275.8
1,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,37,23,28,25.61294367,94.3138837,5.740054567,224.3206759,275.8
2,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,13,28,33,28.130115,95.64807631,5.686972967,151.0761899,128.3
3,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,2,21,35,25.02887163,91.53720922,6.293662363,179.8248944,128.3
4,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,10,18,35,27.79797651,99.64573002,6.381975465,181.6942283,128.3
5,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,7,11,32,29.25902906,95.11294697,5.542169139,184.7624496,128.3
6,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,128.3
7,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,34,6,27,25.84726298,90.92669463,5.860740481,147.8888994,128.3
8,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,30,29,26.58580443,90.98617591,5.558807063,178.8116076,128.3
9,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,25,7,35,28.38503882,99.18843684,5.55771171,189.6711349,128.3
10,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,16,18,26,28.43647052,91.81320717,5.568365926,145.5414413,128.3
11,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,26,10,33,28.27298134,96.93649473,6.07071786,198.8234862,128.3
12,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,27,8,32,27.00648436,96.46168931,5.627860549,144.3331315,128.3
13,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,37,18,30,27.63551259,99.34854917,6.38488418,157.9171537,128.3
14,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,19,15,34,26.29644905,99.65809151,5.685889066,215.9195049,275.8
15,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,0,19,33,27.1326009,95.23797989,6.234458417,204.7206567,275.8
16,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,20,26,25.56567803,97.61361544,6.443168642,199.7936345,128.3
17,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,128.3
18,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,275.8
19,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,128.3
20,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,128.3
21,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,24,6,32,28.11321494,90.01734526,6.387067562,172.4813641,128.3
22,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,128.3
23,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,31,13,33,27.63834933,95.48763389,5.85971872,205.5463111,275.8
24,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,10,9,28,29.01256899,94.01014388,6.282955073,150.0500312,128.3
25,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,128.3
26,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,38,24,33,28.28905147,97.00396405,5.973853124,142.9403233,128.3
27,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,11,6,25,28.69164799,96.65248672,6.081568052,178.9635457,128.3
28,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,16,14,30,29.70931288,96.30484325,6.37466756,209.8453993,275.8
29,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,33,14,35,27.14865285,96.66355213,6.027707171,149.2433497,128.3
30,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,16,6,29,29.28725038,91.95614918,5.868285082,132.1491176,128.3
31,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,32,11,31,25.06871967,93.31410447,6.205931638,134.8419069,128.3
32,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,38,14,30,26.92449525,91.20106019,5.570745386,194.9022136,128.3
33,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,8,6,33,28.27804288,93.64761266,6.095261013,171.9457959,128.3
34,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,275.8
35,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,29,25,35,28.3575072,91.64509299,5.542873799,160.7306991,128.3
36,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,24,14,33,29.38072512,93.27565685,6.366219551,218.5241851,275.8
37,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,32,12,30,25.39241091,98.08951196,5.579845008,218.080385,275.8
38,andaman and nicobar,south andaman,coconut,5600,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,275.8
